"UpperSthCk_CR_002y2hr_004","Location","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Water Level","Flow","Flow","Flow","Flow","Water Level","Flow","Water Level","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Water Level","Water Level","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Water Level","Flow","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Water Level","Flow","Flow","Flow","Flow","Flow","Flow"
"G:\TUFLOW\_projects\BondsCk_CR\runs\UpperSthCk_CR_002y2hr_004.tcf","Time","Scalabrini1","Saclabrini2","Nr_146B_Dickson_Rd","US_Ingleburn_rd","US_Rickard_rd","Scalabrini_DS_Bringelly","Bonds_DS_Ingleburn","Bonds_DS_Rickard","BondsCreek","Scalabrini US SWRL","Bonds US SWRL","Scalabrini_US_Bringelly","Bonds_US_Bringelly","Bonds_US_SWRL","Bonds_DS_Bringelly","BondsCreek_DS","CR_Basin9_Inlet_Check","CR_Rickard_Weir Check","CR_Basin9_WSL_Inlet_Check","CR_DS_Basin9_WSL_Check","CR_US_Basin9_WSL_Check","Kemps1","Kemps2","US_McCann_Rd","US_Eastwood_Rd","US_Heath_Rd","Kemps_DS_Bringelly","Kemps US SWRL","Kemps_US_Eastwood","Kemps_DS_Heath","Kemps_US_Bringelly","Kems_US_SWRL","Springfield_rd","Catherine_fields_rd","Barry_ave","Masterfield_st","Bringelly_rd_DS","Robens_cr","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_thomck","Bringelly_rd_q_h_thomck","Masterfield_lot1","MASTERFILED_LOT2","MASTERFIELD_LOT4","MASTERFIELD_LOT5","MASTERFIELD_LOT6","MASTERFIELD_LOT7","MASTERFIELD_LOT17","US_Rileys_South_Confl","DS_Rileys_South_Confl","US_Lowes_South_Confl","US_Robens Cres","US_Robens Cres","Side of Fields Rd","Side of Fields Rd","SouthCk_US_BringellyRd","SouthCk_DS_BringellyRd","Rileys_DS_CVW","Rileys_DS_AnthonyRd","BarryRd_US_Confl","Turner_rd_q_US","Oran_pk1_q","Oran_pk2_q","Oran_pk3_q","Turner_rd_h_DS","Oran_pk1_h","Oran_pk2_h","Oran_pk3_h","US_Bringelly_SouthCk","Turner_rd_q_DS","Turner_rd_h_US","Rileys_DS_Storage","C 1-1","C 1-2","C 1-3","C 1-4","C 1-5"
"G:\TUFLOW\_projects\BondsCk_CR\results\002y2hr\UpperSthCk_CR_002y2hr_004_PO.csv",          0.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0000,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          1.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0295,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          2.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0040,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          3.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0035,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          4.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0018,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          5.0000,         73.6569,         73.9174,         74.3219,         80.5580,         82.6540,          0.0009,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5750,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          6.0000,         73.6569,         73.9178,         74.3219,         80.5580,         82.6540,          0.0006,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,         -0.0001,         74.5702,          0.0000,         73.7415,          0.0000,          0.0005,         87.3362,         83.5753,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          7.0000,         73.6569,         73.9180,         74.3219,         80.5580,         82.6540,          0.0023,          0.0002,          0.0000,         72.4043,          0.0000,          0.0001,          0.0000,         -0.0002,         74.5702,          0.0001,         73.7417,          0.0000,          0.0009,         87.3362,         83.5755,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004
,          8.0000,         73.6569,         73.9181,         74.3219,         80.5580,         82.6540,          0.0049,          0.0007,          0.0000,         72.4043,          0.0000,          0.0005,         -0.0013,         -0.0002,         74.5702,          0.0015,         73.7418,          0.0000,          0.0010,         87.3362,         83.5755,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003
,          9.0000,         73.6569,         73.9181,         74.3219,         80.5580,         82.6540,          0.0088,          0.0025,          0.0000,         72.4043,          0.0000,          0.0012,         -0.0028,         -0.0008,         74.5702,          0.0034,         73.7418,          0.0000,          0.0010,         87.3362,         83.5755,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,          0.0006
,         10.0000,         73.6569,         73.9181,         74.3219,         80.5580,         82.6540,          0.0151,          0.0012,          0.0000,         72.4043,          0.0000,          0.0010,         -0.0041,         -0.0004,         74.5702,          0.0058,         73.7418,          0.0000,          0.0010,         87.3362,         83.5755,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,          0.0009
,         11.0000,         73.6569,         73.9181,         74.3219,         80.5580,         82.6540,          0.0193,          0.0053,          0.0000,         72.4043,          0.0000,          0.0012,         -0.0032,         -0.0007,         74.5702,          0.0073,         73.7418,          0.0000,          0.0007,         87.3362,         83.5754,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,          0.0010
,         12.0000,         73.6569,         73.9181,         74.3219,         80.5580,         82.6540,          0.0221,          0.0097,          0.0000,         72.4043,          0.0000,          0.0023,         -0.0037,         -0.0006,         74.5702,          0.0081,         73.7417,          0.0000,          0.0006,         87.3362,         83.5754,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,          0.0009
,         13.0000,         73.6569,         73.9180,         74.3219,         80.5580,         82.6540,          0.0245,          0.0178,          0.0000,         72.4043,          0.0000,          0.0033,         -0.0077,         -0.0004,         74.5702,          0.0092,         73.7417,          0.0000,          0.0006,         87.3362,         83.5754,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0012,          0.0008
,         14.0000,         73.6569,         73.9180,         74.3219,         80.5580,         82.6540,          0.0280,          0.0199,          0.0000,         72.4043,          0.0001,          0.0037,         -0.0112,         -0.0003,         74.5702,          0.0119,         73.7417,          0.0000,          0.0006,         87.3362,         83.5754,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0018,          0.0008
